Item,Occurences,Present In
FLRT2,5,GSE38265; GSE239446; GSE113253; GSE252276; GSE139273
FN1,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
FNBP1L,5,GSE38265; GSE239446; GSE113253; GSE252276; GSE139273
FNDC3B,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
FOSL1,5,GSE38265; GSE69626; GSE239446; GSE252276; GSE139273
FOSL2,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
FRAT2,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
FRMD6,5,GSE38265; GSE239446; GSE113253; GSE252276; GSE139273
FZD4,5,GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
GAB1,5,GSE38265; GSE69626; GSE239446; GSE164425; GSE139273
GADD45B,5,GSE38265; GSE239446; GSE164425; GSE113253; GSE139273
GAS1,5,GSE239446; GSE164425; GSE113253; GSE252276; GSE139273
GAS2L1,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
GBP1,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
GBP2,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
GCLM,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
GDF11,5,GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
GJA1,5,GSE38265; GSE239446; GSE113253; GSE252276; GSE139273
GLIS3,5,GSE38265; GSE69626; GSE239446; GSE252276; GSE139273
GLO1,5,GSE38265; GSE69626; GSE164425; GSE252276; GSE139273
GOLIM4,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
GPC6,5,GSE38265; GSE69626; GSE239446; GSE252276; GSE139273
GPER1,5,GSE38265; GSE69626; GSE239446; GSE113253; GSE252276
GPNMB,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
GPR176,5,GSE38265; GSE239446; GSE113253; GSE252276; GSE139273
GRAMD1B,5,GSE38265; GSE69626; GSE239446; GSE164425; GSE139273
GREB1,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
GSPT2,5,GSE38265; GSE69626; GSE239446; GSE164425; GSE139273
HEG1,5,GSE38265; GSE239446; GSE113253; GSE252276; GSE139273
HID1,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
HIPK2,5,GSE38265; GSE69626; GSE239446; GSE164425; GSE113253
HIVEP2,5,GSE38265; GSE69626; GSE239446; GSE252276; GSE139273
HMBOX1,5,GSE38265; GSE69626; GSE164425; GSE252276; GSE139273
HMGB2,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
HMOX1,5,GSE38265; GSE164425; GSE113253; GSE252276; GSE139273
HNMT,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
HNRNPA1,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
HOOK1,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
HPS1,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
HSPA5,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
HSPB7,5,GSE38265; GSE69626; GSE239446; GSE113253; GSE139273
ID1,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
IFT43,5,GSE38265; GSE69626; GSE164425; GSE252276; GSE139273
IGF2BP3,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
IGFBP3,5,GSE38265; GSE69626; GSE239446; GSE164425; GSE139273
IGFBP7,5,GSE38265; GSE69626; GSE239446; GSE164425; GSE139273
IL1B,5,GSE69626; GSE239446; GSE164425; GSE113253; GSE139273
IL6ST,5,GSE38265; GSE239446; GSE113253; GSE252276; GSE139273
IL7R,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
INO80D,5,GSE38265; GSE69626; GSE239446; GSE164425; GSE139273
INTS8,5,GSE38265; GSE69626; GSE164425; GSE252276; GSE139273
IPMK,5,GSE38265; GSE69626; GSE239446; GSE252276; GSE139273
IPO13,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
IRS1,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
ITGA5,5,GSE38265; GSE239446; GSE164425; GSE113253; GSE139273
ITGB1,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
JADE2,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
