Item,Occurences,Present In
BBS10,3,GSE164425; GSE252276; GSE139273
BBX,3,GSE164425; GSE252276; GSE139273
BCDIN3D,3,GSE164425; GSE252276; GSE139273
BDH1,3,GSE164425; GSE252276; GSE139273
BDH2,3,GSE164425; GSE252276; GSE139273
BDP1,3,GSE164425; GSE252276; GSE139273
BEST1,3,GSE164425; GSE252276; GSE139273
BEX2,3,GSE164425; GSE252276; GSE139273
BICC1,3,GSE113253; GSE252276; GSE139273
BICD1,3,GSE164425; GSE252276; GSE139273
BLOC1S6,3,GSE164425; GSE113253; GSE252276
BLZF1,3,GSE164425; GSE252276; GSE139273
BMP8B,3,GSE164425; GSE252276; GSE139273
BMPR2,3,GSE164425; GSE252276; GSE139273
BMS1,3,GSE164425; GSE252276; GSE139273
BNC2,3,GSE164425; GSE252276; GSE139273
BRAF,3,GSE164425; GSE252276; GSE139273
BRD2,3,GSE164425; GSE252276; GSE139273
BRIP1,3,GSE164425; GSE252276; GSE139273
BRPF3,3,GSE164425; GSE252276; GSE139273
BRWD1,3,GSE164425; GSE252276; GSE139273
BTAF1,3,GSE164425; GSE252276; GSE139273
BTBD10,3,GSE164425; GSE252276; GSE139273
BTG2,3,GSE164425; GSE113253; GSE139273
BUB1,3,GSE164425; GSE252276; GSE139273
BYSL,3,GSE164425; GSE252276; GSE139273
BZW1,3,GSE164425; GSE252276; GSE139273
C11orf54,3,GSE164425; GSE252276; GSE139273
C14orf119,3,GSE164425; GSE252276; GSE139273
C15orf52,3,GSE164425; GSE113253; GSE139273
C15orf61,3,GSE164425; GSE252276; GSE139273
C17orf75,3,GSE164425; GSE252276; GSE139273
C1orf115,3,GSE164425; GSE252276; GSE139273
C1orf174,3,GSE164425; GSE252276; GSE139273
C1orf43,3,GSE164425; GSE252276; GSE139273
C2CD2,3,GSE113253; GSE252276; GSE139273
C2CD5,3,GSE164425; GSE252276; GSE139273
C5AR1,3,GSE164425; GSE113253; GSE139273
C5AR2,3,GSE164425; GSE113253; GSE139273
C5orf22,3,GSE164425; GSE252276; GSE139273
C6orf136,3,GSE164425; GSE252276; GSE139273
