Gene	BJ(Fibroblast)	BJ-OKS-iM#2	BJ-OKS-iM#21	BJ-OKS-iG#2	BJ-OKS-iG#5	HUES9
ESCO1	162	286	394	285	173	244
ESCO2	43.61253735	50.32741327	52.95868714	31.45624865	19.46454248	35.45403828
ESD	463.3333333	249	269.5	191	122.3333333	194.1428571
ESF1	698.2	1027.2	1199.1	904	583	746
ESM1	5	0	0	0	0	0
ESPL1	22.41666667	63.08730159	55.33333334	30.16666667	19.58333333	38.82063492
ESPN	4	9.5	9	5	5	10.5
ESPNL	70	21	29	20	19	14
ESPNP	0	0.5	0	0	0	0.5
ESR1	2.4	0	0	1	1	1
ESR2	0	0	1	0	0	0
ESRP1	12	128	143	129	54	106
ESRP2	41	113	79	82	59	67
ESRRA	21	17	4	18	8	9
ESRRB	6.8	7	2	2.892857143	3.933333333	4
ESRRG	1	4.1	3	7	1.75	8.5
ESX1	16.42430592	4.790830791	4.477291671	5.272592002	2.594558464	3.404121989
ESYT1	1383	611	379	253	207	319
ESYT2	103.1479165	25.30235507	23.15258836	18.3512912	11.0596365	27.49487094
ESYT3	0	1	0	1	0	3
ETAA1	44	64	87	70	32	32
ETF1	1090.057869	1070.32498	862.419665	759.7923543	544.0897131	703.5089267
ETFA	138	61	98.22222222	67	46	55
ETFB	107.3160173	63.66666667	54.25252525	37.38888889	26	43.88888889
ETFDH	11	6	2	6	9	1
ETHE1	586	47.33333333	57.25	33.25	17	38.25
ETNK1	13	7	13	8	4	9
ETNK2	13.67303249	15.38227577	10.66367269	11.53769841	7.840154531	12.33609
ETS1	575	134	154	126	57	94
ETS2	4	4	2	1	1	4
ETV1	44.92247474	51.85990339	57.19191919	54.46611254	24.40737813	54.77083333
ETV2	3	0	2	0	0	2
ETV3	23.0487473	7.701463472	11.93734513	10.99183213	6.518311732	8.081362037
ETV3L	0.666666666	0.333333333	1	0.666666667	0.333333333	0.333333333
ETV4	579.0842222	1317.082317	1863.548879	1375.192854	1026.629075	1561.024941
ETV5	56.64285714	13.25	20	10	7	12
ETV6	75.57046458	42.76698028	44.77664142	55.75340909	34.68336566	42.06111111
ETV7	2.422983166	2.74215936	4.030376011	5.163402284	4.126877104	4.54978355
EVC	5	0	2	1	2	0
EVC2	27	20.33333333	29.56666667	16.66666667	15.9	17.66666667
EVI2A	9.181818182	0	1.25	0.181818182	0.222222222	0
EVI2B	0	0	0	0	0	0
EVI5	243.4062271	71.4047619	92.37161531	54.58046855	32	66.80587302
EVI5L	95.14826253	31.46150794	16.73266537	16.56010738	13.14867159	24.08809524
EVL	55	55	57	25	15	49
EVPL	0	1	0	1	0	0
EVPLL	53.13370706	36.2419678	15.96215539	22.29228779	18.54641465	21.98769841
EVX1	0	0	0	0	0	0
EVX2	0	0	0.166666667	0	0.166666667	0
EWSR1	70.06167038	61.51468254	53.96666667	54.09537037	22.87777777	41.52222223
EXD1	3	4.142857143	3.142857143	3	3	2.476190476
EXD2	13	9	11	3	8	8
EXD3	0	0	1	0	0	0
EXO1	26.48434066	35.55357143	26.97857143	38.1	7.6	19.26291209
EXOC1	118	32	36	29	13	23
EXOC2	7	8	18	13	6	8
EXOC3	33.05555556	11	10.5	2	6	6
EXOC3L	0	0	0	0	0	0
EXOC3L2	2.476495195	3.779329412	10.10778266	2.09926017	1.392469518	4.411675307
EXOC4	124.2777778	80.33333333	85	58	33	63
EXOC5	74	30	39.43333333	32	16	26.07142857
EXOC6	119.5619769	70.72240896	89.95384615	58.53333333	44.90589225	38.43172269
EXOC6B	5	12	1	4	4	5
EXOC7	85	24	12	23	11	19
EXOC8	39.09090909	14	17	6	7	19
EXOG	17.5563639	12.43874079	12.63099655	12.35469232	8.113961039	10.40914261
EXOSC1	40	39	24	28	14	23
EXOSC10	171.3636304	179.1667744	139.4456046	130.9117994	82.80690723	83.89377525
EXOSC2	41.46662282	50.55107099	57.28822289	35.92431083	30.49637487	22.66657401
EXOSC3	7	11	4	3	5	7
EXOSC4	224.0017172	196.5901831	162.1472083	115.1470479	114.0079592	137.2113163
EXOSC5	108	230	183	138	89	139
EXOSC6	54.47574475	45.52712275	30.23298468	25.48640544	13.33748064	30.79153703
EXOSC7	39.12187812	46.88768639	48.99844156	21.45102814	25.39285714	32.75608159
EXOSC8	37.73563219	73.49281609	49.78448276	35.11111111	31.26666667	51.5
EXOSC9	1345	1672	1717	1433	1172	1225
EXPH5	94.97326839	46.82460041	31.94032634	21.19490216	16.18939394	23.39258658
EXT1	575.3690476	52	69	27	13.5	33
EXT2	234.9992424	46.5	73.38014706	39.09090909	19.30340909	43.26442308
EXTL1	4	0	0	0	0	0
EXTL2	109.5	107.2857143	159	128.4	73	113
EXTL3	216	246	202	168	93	118
EYA1	174.3562082	89.3601085	78.68415934	50.56761346	43.33659062	54.67286355
EYA2	28.80396826	13.88015873	13.5118254	13.5968254	2.629220779	17.52136752
EYA3	1	1	4	0	1	0
EYA4	1	1	1	2	1	1
EYS	0	1.476190476	0	2	0	0
EZH1	17	5	10	1	6	1
EZH2	9	12	12	12.25	3	8
EZR	2297.917148	3065.06166	5095.697022	3019.283953	1711.149836	1810.92029
F10	57.35131555	25.47845962	24.75630734	19.61158622	16.65417017	24.07245449
F11	0	0	0	0	2	0
F11R	33.02209595	176.3026307	213.9185388	151.4185898	79.54418498	194.3474359
F12	1	9	3	3	4	8
F13A1	0	0	1	0	0	0
F13B	0	0	0	0	0	0
F2	1	0	0	0	0	1
F2R	33.86962689	19.6923035	20.78730491	9.536873007	8.019316724	16.43341763
F2RL1	2.845508658	5.570460912	6.008278649	6.303856275	0.802528435	4.544591928
F2RL2	164.7261905	6.561111111	3.4	4.490909091	5.408333333	2.107690965
F2RL3	20.95069216	19.63542676	21.84598257	19.29105162	9.671105034	17.54176934
F3	43	1	0	3	0.285714286	1
F5	41.41666666	80.66666667	113.8333333	119.5833333	58.08333334	56.5
F7	6.678571429	4.104761905	8.781746031	9.321500722	4.154761905	5.876984128
F8	8.353846154	3.666666667	5.353846154	6.641269841	1	2.2
F8A1	2059.757937	678.9285714	577.9722222	514.2000001	354.6999999	625.6428572
F8A2	0.333333333	0	0.333333333	0	0	0
F8A3	0.333333333	0	0.333333333	0	0	0
F9	0	0	0	0	0	0
FA2H	109.6470373	49.2725023	47.706903	41.84116566	34.49222927	43.12770209
