"GeneID","BJ.Fibroblast.","BJ.OKS.iM.2","BJ.OKS.iM.21","BJ.OKS.iG.2","BJ.OKS.iG.5","HUES9"
"RHOH",-0.0994220570145409,-0.0683747227193747,-0.0710070216673816,-0.07313673443224,-0.0682039894487774,-0.0713561644571906
"RHOJ",-0.0778978524297847,-0.0679415697310616,-0.0710070216673816,-0.0749743115507797,-0.070761334158191,-0.0725621042993946
"RHOQ",2.65610661392595,0.269051455176549,0.252866208676826,0.364819145486389,0.274480201612647,0.363988118578446
"RHOT1",-0.0866151552866109,-0.0581956274940163,-0.0535578725949604,-0.0579767232042874,-0.0647941965028926,-0.0540207792255084
"RHOT2",-0.0559654955030257,-0.0399538572050995,-0.0488326238959232,-0.0484685051410321,-0.0474790458268259,-0.0471490538346563
"RHOU",0.0329167890065158,0.0562974589106723,0.0348248479149192,0.0291395501452063,0.0638317202851025,0.0724696675101654
"RHOV",-0.0943108193837805,-0.0664110958391663,-0.0686217226253031,-0.0730181557375872,-0.0679425719893087,-0.0680043610724896
"RHOXF1",-0.0994220570145409,-0.0679415697310616,-0.071432610669148,-0.0749743115507797,-0.0716137823946622,-0.0725621042993946
"RHOXF2",-0.0994220570145409,-0.0683747227193747,-0.0710070216673816,-0.0749743115507797,-0.070761334158191,-0.0725621042993946
"RHOXF2B",-0.0994220570145409,-0.0683747227193747,-0.0710070216673816,-0.0749743115507797,-0.070761334158191,-0.0725621042993946
"RHPN1",-0.0897533511333546,-0.0624624233171051,-0.065825799265359,-0.0703727887769926,-0.0651938121126314,-0.0626668201200564
"RHPN2",-0.0456115455526503,0.0646032446927543,0.0230481477229863,0.0309926356183431,0.0323849024548248,0.0432081205521875
"RIBC1",-0.0748071916825223,-0.0574290432111879,-0.0580849649693892,-0.0607922653764622,-0.0594076209098348,-0.0511796980985518
"RIBC2",-0.0966956577672819,-0.0683747227193747,-0.0708651586669347,-0.0735450849032307,-0.0682039894487774,-0.0698822379836537
"RIC3",-0.0985610888311506,-0.0644763458245566,-0.0684534876567834,-0.0657864259580812,-0.066499092975835,-0.0677383449305787
"RIC8A",0.912215558469002,0.246094346795953,0.179664900373011,0.259464724023446,0.245923185690862,0.161390225088178
"RIC8B",-0.0309750864350161,0.0386140653939669,-0.00291278138476235,0.0334427384430627,0.0281226612724687,0.0184863537870059
"RICTOR",-0.0946867320058945,-0.0653426518011828,-0.0637720086373533,-0.0688490544889807,-0.0639417482664214,-0.0689442847727826
"RIF1",0.441696446246231,0.874599332838296,0.943597158543646,1.18376601464892,0.829424003555401,1.06162431729345
"RILP",-0.0704361281751708,-0.0514817561751629,-0.0439821200552171,-0.048023180478864,-0.0503025764828821,-0.0418106383231931
"RILPL1",-0.0667052660457114,-0.0605779689297385,-0.0637720086373533,-0.0706866316075204,-0.066499092975835,-0.0605027058773548
"RILPL2",-0.0524992910197723,-0.0579790509998597,-0.0624952416320542,-0.0706866316075204,-0.062236851793479,-0.0671353750094767
"RIMBP2",-0.0992068149686933,-0.0683747227193747,-0.071432610669148,-0.0749743115507797,-0.0716137823946622,-0.0725621042993946
"RIMBP3",-0.0991350676203645,-0.0680859540607881,-0.071432610669148,-0.0749743115507797,-0.0716137823946622,-0.0723611143258949
"RIMBP3B",-0.0969018304509118,-0.0670996403294152,-0.0701259971624816,-0.0731340828060078,-0.0701745840736129,-0.0700785729943902
"RIMBP3C",-0.0989198255745169,-0.0680859540607881,-0.0713474928687947,-0.0749743115507797,-0.0716137823946622,-0.0723611143258949
"RIMKLA",-0.0963215799544635,-0.0627247303408351,-0.065755839191822,-0.0697952454796874,-0.0679155620458885,-0.0663814433019092
"RIMKLB",-0.0382933159938332,0.0186890279315632,0.0132596006823597,0.0156794929638456,-0.0136473023146203,-0.0309571797433573
"RIMS1",-0.0931082903349108,-0.0652890233358806,-0.0688790766585498,-0.0743617858445998,-0.0701930353335927,-0.0689442847727826
"RIMS2",-0.0959781842809799,-0.0579790509998597,-0.0573881736108578,-0.0633002922091083,-0.0613844035570077,-0.0635175554828647
"RIMS3",-0.0701491387792724,0.0347156884991488,0.0464555428201366,0.0383429440925019,0.0247128683265839,0.0661209775540631
"RIMS4",-0.0985610888311506,-0.0636100398479303,-0.0676023096532507,-0.0737492601384199,-0.0682039894487774,-0.0695472546938846
"RIN1",-0.0753149478796139,-0.062310580882991,-0.0676023096532507,-0.0719116830198802,-0.0699088859217198,-0.0683413148516806
"RIN2",-0.0899514069972482,-0.0675084167427484,-0.071432610669148,-0.0749743115507797,-0.0716137823946622,-0.0725621042993946
"RIN3",-0.0849378155262922,-0.0643163979891594,-0.0689435508094177,-0.0715441675961722,-0.0691544572939052,-0.0714468676251546
"RING1",0.0086294500009354,-0.0514817561751629,-0.0539834615967268,-0.0621112717210018,-0.0477452317734685,-0.0556789465085389
"RINL",-0.039187183579544,-0.0491842219449468,-0.0502218895275258,-0.0503759383723841,-0.0488101036659596,-0.0504714571904682
"RINT1",-0.0968391524643702,-0.0666421107661222,-0.0701558436638489,-0.0700741059013405,-0.070761334158191,-0.0701502246149866
"RIOK1",0.567800623066138,0.519775671289258,0.831934211568995,0.813633590174464,0.858911393416746,0.749588372596809
"RIOK2",-0.0808557887971791,-0.0530166634169148,-0.0590343464051273,-0.052386135163967,-0.0553384388028063,-0.0621708649930369
"RIOK3",-0.0360433488733413,-0.0430427593850295,-0.0447141333212585,-0.047279997392069,-0.0449267402287705,-0.0493704622069046
"RIPK1",-0.0903818910889433,-0.065775804789496,-0.0658999536461852,-0.0712991573137003,-0.0656466447393638,-0.0695472546938846
"RIPK2",-0.0873685024470774,-0.0532143681284154,-0.059941707621456,-0.0663989516642611,-0.0613844035570077,-0.0629145855617627
"RIPK3",-0.0977001206477604,-0.0683747227193747,-0.0710070216673816,-0.0749743115507797,-0.0716137823946622,-0.0725621042993946
"RIPK4",-0.0984175941340624,-0.0681581462252181,-0.0699430491629657,-0.073953435373609,-0.070761334158191,-0.0713561644571906
"RIPPLY1",-0.0968121307360024,-0.0665911699743961,-0.0696479858702673,-0.0740827463559567,-0.0702539244938278,-0.0720883422183564
"RIPPLY2",-0.0994220570145409,-0.0683747227193747,-0.071432610669148,-0.0749743115507797,-0.070761334158191,-0.0725621042993946
"RIT1",-0.07918930470487,-0.0579429549189441,-0.0624952416320542,-0.0676240030766209,-0.0647941965028926,-0.0665324050883747
"RIT2",-0.0987763308769982,-0.0681581462252181,-0.0706523641660515,-0.0722179458729701,-0.0694826618034842,-0.0697984921612115
"RLBP1",-0.0994220570145409,-0.0675084167427484,-0.071432610669148,-0.0749743115507797,-0.0716137823946622,-0.0725621042993946
"RLF",-0.0695034126417297,-0.0475833792803448,-0.0514299275861286,-0.054760963246843,-0.0511550247193533,-0.0514581570608249
"RLIM",1.17499953816332,1.38342109014962,1.80637296159042,1.95520342199504,1.73285650499277,1.55570819710729
"RLN1",-0.0994220570145409,-0.0662089577778091,-0.0710070216673816,-0.0719116830198802,-0.0696247365098469,-0.0719591343782926
"RLN2",-0.0981306047394555,-0.0666421107661222,-0.0705814326656153,-0.0719116830198802,-0.0676356906241791,-0.0713561644571906
"RLN3",-0.0994220570145409,-0.0683747227193747,-0.071432610669148,-0.0749743115507797,-0.0716137823946622,-0.0725621042993946
"RLTPR",-0.00224260262073825,0.0263910683155137,0.0212373472121451,0.00778468031445131,0.0300842534369839,0.0573078605923537
"RMI1",-0.0877817671751047,-0.0496408559748321,-0.0505787495825959,-0.0572110660715626,-0.0562697141381805,-0.0568848863507428
"RMND1",-0.080001160387446,-0.0488279661301806,-0.0556478926400877,-0.05533617835844,-0.0468136276317605,-0.0570273889455615
"RMND5A",-0.0911520492816972,-0.0464416601967599,-0.0546756348209058,-0.0483049423037068,-0.0543255978615205,-0.0414065659535914
"RMND5B",-0.0953324581434372,-0.0651621713892413,-0.0697302546620825,-0.0722179458729701,-0.0682039894487774,-0.0698487396544356
"RMRP",-0.0994220570145409,-0.0679415697310616,-0.071432610669148,-0.0743617858445998,-0.0716137823946622,-0.0719591343782926
"RMST",-0.0989915729228458,-0.0683747227193747,-0.0705814326656153,-0.0749743115507797,-0.0716137823946622,-0.0701502246149866
"RN5-8S1",-0.0942562479141994,-0.0640431928362435,-0.0667511316497179,-0.0719116830198802,-0.066499092975835,-0.0683413148516806
"RNASE1",-0.0989915729228458,-0.0679415697310616,-0.0688790766585498,-0.0743617858445998,-0.0699088859217198,-0.0695472546938846
"RNASE10",-0.0994220570145409,-0.0683747227193747,-0.071432610669148,-0.0749743115507797,-0.0716137823946622,-0.0725621042993946
"RNASE11",-0.0994220570145409,-0.0683747227193747,-0.071432610669148,-0.0749743115507797,-0.0716137823946622,-0.0725621042993946
"RNASE12",-0.0994220570145409,-0.0683747227193747,-0.071432610669148,-0.0749743115507797,-0.0716137823946622,-0.0725621042993946
"RNASE13",-0.0994220570145409,-0.0683747227193747,-0.071432610669148,-0.0749743115507797,-0.0716137823946622,-0.0725621042993946
"RNASE2",-0.0994220570145409,-0.0683747227193747,-0.071432610669148,-0.0749743115507797,-0.0716137823946622,-0.0725621042993946
"RNASE3",-0.0994220570145409,-0.0683747227193747,-0.071432610669148,-0.0749743115507797,-0.0716137823946622,-0.0725621042993946
"RNASE4",-0.0977001206477604,-0.0683747227193747,-0.071432610669148,-0.0749743115507797,-0.0716137823946622,-0.0725621042993946
"RNASE6",-0.0994220570145409,-0.0683747227193747,-0.071432610669148,-0.0749743115507797,-0.0716137823946622,-0.0725621042993946
"RNASE7",-0.0994220570145409,-0.0683747227193747,-0.071432610669148,-0.0749743115507797,-0.0716137823946622,-0.0725621042993946
"RNASE8",-0.0994220570145409,-0.0683747227193747,-0.071432610669148,-0.0749743115507797,-0.0716137823946622,-0.0725621042993946
"RNASE9",-0.0941772171220092,-0.0653426518011828,-0.0697489547849132,-0.0726705343114933,-0.0663286033285407,-0.0707409118150939
"RNASEH1",-0.0148319329964489,0.0334162295342094,0.00879091616381284,0.0162920186700255,0.0302537818636467,0.014567049299843
"RNASEH2A",-0.000841200016357343,0.15686483120345,0.124763919145149,0.106945823184651,0.130416449649013,0.15596349579826
"RNASEH2B",-0.0796467609150852,-0.0424009932946356,-0.0517592321364986,-0.0496595478215051,-0.0455543026468162,-0.053314576578857
"RNASEH2C",-0.0714405910543578,-0.0584122039881729,-0.0637720086373533,-0.0663989516642611,-0.0639417482664214,-0.0623116156406607
"RNASEK",0.184266959412546,-0.00426808044903237,0.0213457917159208,-0.0259722550563876,-0.0110899576052067,-0.00502947313597169
"RNASEL",-0.0875859186571349,-0.0665753822765354,-0.0702622409142905,-0.0733299717083027,-0.0697920689411979,-0.0713013490097629
"RNASEN",-0.0877989865387725,-0.0527812151401022,-0.0531322835931941,-0.0565985403653827,-0.0562697141381805,-0.0514581570608249
"RNASET2",-0.0903818910889433,-0.0601448159414253,-0.0629208306338206,-0.0688490544889807,-0.0656466447393638,-0.0707531945360886
"RND1",-0.0994220570145409,-0.0666421107661222,-0.071432610669148,-0.0737492601384199,-0.0716137823946622,-0.0719591343782926
"RND2",-0.0500938657621511,0.115113932047927,0.0503290753796279,0.0933844833464589,0.0903643652362633,0.218760558275012
"RND3",0.687072378512452,-0.0241931179114361,0.00857812166292965,0.0218047500256446,-0.00256547524049463,-0.0134710520313996
"RNF10",-0.0443200932775649,-0.0293909537711936,-0.0368383046666005,-0.0369977177676258,-0.0341060599899292,-0.0381928187965811
"RNF103",-0.0817183987435789,-0.0649094988128697,-0.0696593231616463,-0.0694615801951606,-0.0690564376852486,-0.0689442847727826
"RNF11",-0.0778978524297847,-0.0614442749063647,-0.0658999536461852,-0.0639488488395415,-0.0554172659017093,-0.0653264652461707
"RNF111",-0.0639307198575279,-0.0485503167583001,-0.0490078117140926,-0.0517275026081723,-0.0569537023639861,-0.0544734852134128
"RNF112",-0.078802262002662,-0.0593716504317177,-0.0593336574897359,-0.0562846000599641,-0.0636622465694135,-0.0558420899877858
"RNF113A",0.0457481116234351,-0.000947240857526652,-0.00602498539703688,-0.00761371942557396,-0.0179663733822492,-0.00187799820405802
"RNF113B",-0.0994220570145409,-0.0679415697310616,-0.071432610669148,-0.0749743115507797,-0.0711875582764266,-0.0725621042993946
"RNF114",-0.0856465660802969,-0.0493159912335972,-0.0527066945914277,-0.060886220308642,-0.0571221623746517,-0.0520611269819269
"RNF115",-0.0507773546529918,-0.0601448159414253,-0.0616440636285215,-0.0621112717210018,-0.0630893000299502,-0.0617086457195588
"RNF121",-0.0696706248198149,-0.0527216656181229,-0.0581326549791097,-0.0595816201031922,-0.0595436774194502,-0.0567190098017939
"RNF122",-0.0959781842809799,-0.0614442749063647,-0.0586649406161569,-0.0663989516642611,-0.062236851793479,-0.0568848863507428
"RNF123",-0.0799641760699213,-0.0616608514005213,-0.0631336251347038,-0.0673994103156465,-0.0613844035570077,-0.0613066657701475
"RNF125",-0.0138935208541079,-0.0437033931821098,-0.0371414932330217,-0.0302935282308463,-0.0426145239231094,-0.0276256966071963
"RNF126",-0.0202898562895697,0.0341278379964458,0.0204075614397861,0.026807043313198,0.0464858170615342,0.000123178949970947
"RNF126P1",-0.0963179578531368,-0.0661846925668957,-0.0697346542896785,-0.0740301203781003,-0.0701950565991797,-0.0698337203809847
"RNF128",-0.0989915729228458,-0.0670752637544353,-0.0710070216673816,-0.0743617858445998,-0.0716137823946622,-0.0713561644571906
"RNF13",-0.0576651001201138,-0.0527812151401022,-0.0454716815613994,-0.0474106547726841,-0.033253611753458,-0.0544730066663349
"RNF130",-0.0571126455372067,-0.0337224836543248,-0.0292385010666695,-0.0393603169217841,-0.0409256458816988,-0.0273192612213852
"RNF133",-0.0994220570145409,-0.0683747227193747,-0.071432610669148,-0.0749743115507797,-0.0716137823946622,-0.0725621042993946
"RNF135",-0.0599276236178116,-0.051294024122505,-0.0617012602198013,-0.0623395654480465,-0.0593265032739959,-0.0526295909543935
"RNF138",-0.0994220570145409,-0.0649094988128697,-0.06621914539751,-0.0702272373278854,-0.0673515412123062,-0.0660801776475482
"RNF138P1",-0.0994220570145409,-0.0682692110938387,-0.0710602202926024,-0.0748211801242347,-0.0716137823946622,-0.0723359905789813
"RNF139",-0.0839246297135164,-0.0527812151401022,-0.0573881736108578,-0.0486357061850439,-0.0613844035570077,-0.0532670668241309
"RNF14",-0.0597440288639507,-0.0509136735533551,-0.0573163638977278,-0.0634282617289207,-0.058688026824787,-0.0590219768623818
"RNF141",-0.0605084957083203,-0.0565776870811318,-0.054369893844029,-0.0571746544013303,-0.0563027868366699,-0.0522795670599066
"RNF144A",-0.0985610888311506,-0.0649094988128697,-0.068768924211209,-0.0725242087260601,-0.0705482220990732,-0.0706928975439784
"RNF144B",-0.0829169055901669,-0.0345346455074119,-0.0555407304444861,-0.0467981290665042,-0.052830526424345,-0.0555784515196786
"RNF145",-0.07546386805682,-0.0569074308966108,-0.0598789253022047,-0.0606500439760339,-0.0656950438152513,-0.0599253164968984
"RNF146",-0.0951172160975896,-0.0666421107661222,-0.0688790766585498,-0.0725242087260601,-0.0716137823946622,-0.0701502246149866
"RNF148",-0.0942287451207201,-0.0662860885239071,-0.0694270120743726,-0.0725940648915495,-0.0674752233642417,-0.069408153369784
"RNF149",-0.0920858906171349,-0.0674542726192093,-0.0688588105154464,-0.0743617858445998,-0.070761334158191,-0.0700393845562088
"RNF150",-0.0486249341945162,-0.0631768868596172,-0.0654743646444188,-0.0712991573137003,-0.066499092975835,-0.0665324050883747
"RNF151",-0.0994220570145409,-0.0683747227193747,-0.071432610669148,-0.0749743115507797,-0.0716137823946622,-0.0725621042993946
"RNF152",-0.0985610888311506,-0.0679415697310616,-0.0710070216673816,-0.0743617858445998,-0.0716137823946622,-0.0719591343782926
"RNF157",-0.0898400225661641,-0.0598487708003653,-0.0634318516483002,-0.0623646892434297,-0.0623148574647368,-0.0618737785473179
"RNF160",-0.0615394569453699,-0.0289578007828804,-0.0267457654836791,-0.0284223578811072,-0.0315487152805156,-0.0430165781653971
"RNF165",-0.0990220824905788,-0.0665554801684596,-0.070281337856732,-0.0743617858445998,-0.0688030175541552,-0.0700296306307662
"RNF166",-0.0981306047394555,-0.0666421107661222,-0.0697302546620825,-0.0725242087260601,-0.0699088859217198,-0.0719591343782926
